"#datatype","string","long","dateTime:RFC3339","dateTime:RFC3339","dateTime:RFC3339","double"
"#group","false","false","false","true","true","false"
"#default","_result","","","","",""
"","result","table","_time","_start","_stop","_value"
"","","0","2025-05-26T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16"
"","","0","2025-05-26T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16"
"","","0","2025-05-26T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16"
"","","0","2025-05-26T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16"
"","","0","2025-05-26T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16"
"","","0","2025-05-26T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.929444444444508"
"","","0","2025-05-26T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.839444444444402"
"","","0","2025-05-26T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.650000000000013"
"","","0","2025-05-26T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.161944444444428"
"","","0","2025-05-27T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.422777777777755"
"","","0","2025-05-27T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.733888888888817"
"","","0","2025-05-27T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.20944444444436"
"","","0","2025-05-27T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.58027777777779"
"","","0","2025-05-27T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.01361111111108"
"","","0","2025-05-27T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.949166666666658"
"","","0","2025-05-27T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.00472222222223"
"","","0","2025-05-27T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.457500000000076"
"","","0","2025-05-27T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.564444444444485"
"","","0","2025-05-27T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.1391666666667"
"","","0","2025-05-27T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.728888888888974"
"","","0","2025-05-27T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.348611111111133"
"","","0","2025-05-27T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.91333333333339"
"","","0","2025-05-27T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.781944444444456"
"","","0","2025-05-27T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.459722222222148"
"","","0","2025-05-27T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.786111111111126"
"","","0","2025-05-27T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.051666666666655"
"","","0","2025-05-27T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.653333333333247"
"","","0","2025-05-27T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.950277777777888"
"","","0","2025-05-27T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.82055555555562"
"","","0","2025-05-27T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.438333333333325"
"","","0","2025-05-27T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.219722222222195"
"","","0","2025-05-27T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.35472222222219"
"","","0","2025-05-27T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.788611111111102"
"","","0","2025-05-28T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.563611111111044"
"","","0","2025-05-28T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.516666666666652"
"","","0","2025-05-28T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.828055555555537"
"","","0","2025-05-28T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.021666666666711"
"","","0","2025-05-28T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.271111111111132"
"","","0","2025-05-28T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.17638888888886"
"","","0","2025-05-28T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.846944444444535"
"","","0","2025-05-28T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.784444444444539"
"","","0","2025-05-28T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.190555555555571"
"","","0","2025-05-28T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.66638888888882"
"","","0","2025-05-28T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.41749999999997"
"","","0","2025-05-28T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.446388888888787"
"","","0","2025-05-28T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.45083333333328"
"","","0","2025-05-28T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.481388888888848"
"","","0","2025-05-28T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.656388888889033"
"","","0","2025-05-28T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.969444444444445"
"","","0","2025-05-28T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.780555555555624"
"","","0","2025-05-28T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.118611111111125"
"","","0","2025-05-28T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.075555555555432"
"","","0","2025-05-28T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.470555555555544"
"","","0","2025-05-28T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.276666666666614"
"","","0","2025-05-28T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.951666666666668"
"","","0","2025-05-28T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.687222222222234"
"","","0","2025-05-28T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.171666666666594"
"","","0","2025-05-29T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","11.250833333333354"
"","","0","2025-05-29T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","10.63666666666667"
"","","0","2025-05-29T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","10.131944444444477"
"","","0","2025-05-29T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","9.67777777777775"
"","","0","2025-05-29T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","9.556111111111091"
"","","0","2025-05-29T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","9.55388888888884"
"","","0","2025-05-29T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","9.923611111111123"
"","","0","2025-05-29T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","10.537222222222242"
"","","0","2025-05-29T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","11.653055555555554"
"","","0","2025-05-29T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","12.89166666666674"
"","","0","2025-05-29T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.517222222222156"
"","","0","2025-05-29T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.806666666666727"
"","","0","2025-05-29T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.10027777777782"
"","","0","2025-05-29T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.710833333333298"
"","","0","2025-05-29T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.39361111111105"
"","","0","2025-05-29T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.28916666666659"
"","","0","2025-05-29T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.50638888888894"
"","","0","2025-05-29T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.991388888888926"
"","","0","2025-05-29T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.53166666666674"
"","","0","2025-05-29T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.859166666666582"
"","","0","2025-05-29T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","13.815833333333325"
"","","0","2025-05-29T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","14.340555555555552"
"","","0","2025-05-29T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.141666666666698"
"","","0","2025-05-29T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.521666666666588"
"","","0","2025-05-30T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.783102493074862"
"","","0","2025-05-30T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.90333333333327"
"","","0","2025-05-30T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.794444444444478"
"","","0","2025-05-30T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.647777777777845"
"","","0","2025-05-30T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.718888888888905"
"","","0","2025-05-30T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.51305555555546"
"","","0","2025-05-30T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.690833333333323"
"","","0","2025-05-30T07:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.370277777777726"
"","","0","2025-05-30T08:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.61972222222211"
"","","0","2025-05-30T09:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.21750000000003"
"","","0","2025-05-30T10:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.130555555555453"
"","","0","2025-05-30T11:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","19.743333333333236"
"","","0","2025-05-30T12:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.07694444444446"
"","","0","2025-05-30T13:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.971666666666675"
"","","0","2025-05-30T14:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","22.51916666666673"
"","","0","2025-05-30T15:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.517222222222212"
"","","0","2025-05-30T16:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.85583333333337"
"","","0","2025-05-30T17:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","24.591666666666605"
"","","0","2025-05-30T18:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.829444444444523"
"","","0","2025-05-30T19:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","23.473888888888855"
"","","0","2025-05-30T20:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","21.945220588235344"
"","","0","2025-05-30T21:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","20.594444444444402"
"","","0","2025-05-30T22:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","18.98111111111109"
"","","0","2025-05-30T23:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.84638888888904"
"","","0","2025-05-31T00:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","17.29527777777778"
"","","0","2025-05-31T01:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.539166666666695"
"","","0","2025-05-31T02:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.01527777777776"
"","","0","2025-05-31T03:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","15.906666666666688"
"","","0","2025-05-31T04:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.220833333333292"
"","","0","2025-05-31T05:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.741388888888846"
"","","0","2025-05-31T06:00:00Z","2024-01-01T00:00:00Z","2025-12-31T23:59:59Z","16.842499999999994"
