 no name        alias       rev   power          vld   state
000 EK1100      EK1100        18   2000   2000   True  00010001
001 EL2502      EL2502        26   1850   -150   True  00000001
002 EL2502      EL2502        26   1700   -150   True  00000001
003 EL2502      EL2502        26   1550   -150   True  00000001
004 EL2809      EL2809        18   1410   -140   True  00010001
005 EL2809      EL2809        18   1270   -140   True  00010001
006 EL2809      EL2809        18   1130   -140   True  00010001
007 EL1809      EL1809        18   1030   -100   True  00010001
008 EL6021      EL6021        22    860   -170   True  00000001
009 EL6021      EL6021        22    690   -170   True  00000001
010 EL6001      EL6001        21    570   -120   True  00000001
011 EL3124      EL3124        20    440   -130   True  00000001
012 EL3124      EL3124        20    310   -130   True  00000001
013 EL4104      EL4104        63    120   -190   True  00000001
014 EL9410      EL9410        17   2000   2000   True  00010001
015 EL2596      EL2596        19   1760   -240   True  00000001
016 EL2596      EL2596        19   1520   -240   True  00000001
017 EL3314      EL3314        25   1320   -200   True  00000001
018 EL3314      EL3314        25   1120   -200   True  00000001
019 EL3164      EL3164        20    990   -130   True  00000001
020 EL4104      EL4104        63    800   -190   True  00000001
021 EL3751      EL3751        22    540   -260   True  00000001
022 EL3751      EL3751        23    280   -260   True  00000001
023 EL6021      EL6021        22    110   -170   True  00000001
024 EL9410      EL9410        17   2000   2000   True  00010001
025 EL2124      EL2124        18   1870   -130   True  00010001
026 EL2124      EL2124        18   1740   -130   True  00010001
027 EL1124      EL1124        18   1650    -90   True  00010001
028 EL1124      EL1124        18   1560    -90   True  00010001
029 EL1124      EL1124        18   1470    -90   True  00010001
030 EL1124      EL1124        18   1380    -90   True  00010001
031 EL9505      EL9505        18   1290    -90   True  00010001
